RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28
102001,0,United States,country,,0.97645341499235,0.9789653913488687,0.9830237923956014,0.9861548528069658,0.9874950546469932,0.9886236267292547,0.9862364684753131,0.9830268601370759,0.9806019289384498,0.9788079561096366,0.9774728892352416,0.9759513700348736,0.9732319038866758,0.9756097032606259,0.9790650773524536,0.9819220732984576,0.9842109866223537,0.9852175001750899,0.9846595286532824,0.9823304436630058,0.9806629134926719,0.9795053149287991,0.978768981721122,0.9775256313041155,0.9752670070595237,0.9776621913494657,0.9827816696810318,0.9850008321980234,0.9827986208813208,0.9847995819360608,0.9883666487245327,0.9905403947967228,0.9922227497077385,0.9928476449603862,0.9934495638902395,0.9921184993456676,0.9910976054792077,0.9939527705036257,1.0013736023153366,1.0108742097945245,1.0179094447386303,1.022459876722544,1.0208171800689672,1.014448323184992,1.0085297131706097,1.0054068448019127,1.0037933499416913,1.0026710936939973,1.0011769412186295,1.007639659007972,1.0195360196089445,1.0276480924698912,1.0287584874836826,1.0227984589806869,1.0107368243343713,0.9990288212347224,0.9919347247928794,0.9876538494767789,0.9836638488946036,0.9797833038364074,0.976621972074747,0.9792455628955081
394913,1,"New York, NY",msa,NY,0.9758505172308793,0.9730526806942426,0.9789876120390689,0.9819975909167419,0.9806210062281515,0.9836289304398446,0.9858547817054543,0.9856859964755617,0.9815485799536762,0.9795176994656832,0.9769077269005259,0.9780010324995823,0.9736268007331691,0.9781853654150819,0.9781772204301927,0.9757995471029838,0.9796900442838828,0.9812383227108529,0.9816976514700012,0.9808177894695751,0.9783021268145005,0.977348604643736,0.9760668632901605,0.9757828392751768,0.9741123606261681,0.9737419114914204,0.9760104643283505,0.981647373626542,0.9808582135250673,0.981778487675376,0.9835879345889049,0.992576763788394,0.9960509959642386,0.9969274497255793,0.9983035554222925,0.9970116185489305,0.9967333354976008,0.9929946921219656,0.9924510492848246,0.9980856043124636,1.003609949345963,1.0121275386426138,1.0163160366287824,1.0146870058676425,1.010604910873497,1.008150443687769,1.0069177409313994,1.0039513386487535,1.0038472553491324,1.0037598824563458,1.0073419128733185,1.0189648381919503,1.0275587609069443,1.0345609278888763,1.0315400380897604,1.0228707841884859,1.0121703997259242,1.0049325269500327,1.0003534142053407,0.9955161772537662,0.9914816054958127,0.9882269861170606
753899,2,"Los Angeles, CA",msa,CA,0.9949800739047987,0.9989919170358462,1.0027449078617006,1.0034218583200505,1.0037717468530762,1.0031093733710472,0.9999969165028114,0.999423066754632,0.9951578134358532,0.9937615864241379,0.9912474101332078,0.9893578920215095,0.9856665385078804,0.9887786420166257,0.9903338644116962,0.9930528311346,0.9952326242531072,0.9958952977118034,0.9948881293947466,0.9939096228577424,0.9936679792045767,0.9936806070290577,0.9943362134548895,0.9925717562582935,0.9912884556536965,0.9970855058014161,1.0022972328129856,1.0012006373196343,0.9935153918709498,0.9930663987155849,0.9990070169031713,1.002231031666728,1.0062793718954768,1.0085892411662702,1.0099174953342878,1.0101978361466026,1.009924526251557,1.01318061803265,1.0230923170394033,1.0323884416358877,1.0371139659132935,1.040755387723841,1.040063857982512,1.0348967452556646,1.0287686348297198,1.0282357957655825,1.030397619968811,1.0316527352235039,1.0315228476375127,1.0477884854350794,1.0592492294087852,1.0639770209728172,1.05522908427661,1.039357688126959,1.0187297664169033,1.0041555841195489,0.9985535599021449,0.9960628525192481,0.9896912681605097,0.9873757522834189,0.9841357661626239,0.991854825541506
394463,3,"Chicago, IL",msa,IL,0.9674697090030476,0.9679497441896726,0.9727211783746038,0.9768996459918226,0.9786904675070676,0.9793735957069745,0.9793705770878756,0.9761606104328635,0.9737228988971567,0.9727845455730556,0.9703885463747777,0.9667851406222658,0.9676299141784669,0.9696342329558146,0.9743842672445663,0.9769944295900383,0.9773180459193711,0.9772929632407855,0.9771533696696431,0.9757528702475576,0.9743225227185168,0.9720418992499332,0.9708428056205975,0.9703930034568048,0.9686547115033639,0.9671756177636095,0.9724355776661792,0.9761996790519041,0.9765369520084476,0.9745371591631459,0.9798295139517643,0.9807085064941161,0.9821573731124402,0.9826380156669554,0.9828637053660947,0.9830459752697932,0.9811251901094811,0.9818143545877236,0.9855397032082762,0.992863564276455,0.9993446642492584,1.0054027913984078,1.0065600475749878,1.002447753250889,0.9976586051048176,0.9927931785771483,0.9907598874969111,0.9908366810572925,0.9877769556095372,0.9891310693268881,0.9980973908447252,1.0094077906962877,1.0143770171604705,1.0147146224026034,1.0086360454084793,0.9985717174265119,0.990692190003704,0.9862244576988449,0.982753183174695,0.9807512811764768,0.9772525022794832,0.9811438406548035
394514,4,"Dallas, TX",msa,TX,0.9833667260925583,0.9862188707848056,0.9888881010130426,0.9931295798324112,0.9935157727076894,0.9921812418548966,0.990526270882246,0.9869680625961397,0.9859159893220419,0.9838783753689235,0.9825414707375538,0.9796761390771017,0.9785445775954474,0.9802586255192728,0.9833232651334498,0.984858048868734,0.9865557288373561,0.9870989873238093,0.9855506795349882,0.9850399909345814,0.9821827048349258,0.9807882708501539,0.9813139567735896,0.9796676964942357,0.9797035597505662,0.9812952189508523,0.9849504548324899,0.9857538132871625,0.9847978341727115,0.9871573496425191,0.9893307109889263,0.9900693450055247,0.9924347757592922,0.9924424736988631,0.9920236105733611,0.992250150310967,0.9934023054170188,0.9978806226575025,1.0083726054613737,,,,1.0371068503080971,1.0272380994854073,1.0188292698177692,1.0151470409496988,1.015288986041137,1.0157952721963266,1.0177570827843185,1.0296120726513218,1.0500910410741964,1.0599236511008396,1.0580519744376897,1.040905243451339,1.0192482429511835,0.9993042113108639,0.988888529831947,0.9853974831021232,0.9817156800775876,0.9751383197955883,0.9745384229894939,0.97861876746816
394692,5,"Houston, TX",msa,TX,0.9672517486379321,0.9685282668775226,0.9693143878875939,0.9742206216056091,0.9750491097002181,0.9758390125058373,0.9765507471105154,0.9740538904002617,0.973144395855185,0.9704493683727317,0.9696704111677774,0.9713915601834257,0.9674335191965743,0.9697165345401204,0.9720567138219374,0.9749085629205386,0.9774759356663307,0.9779710208348525,0.9766952297135182,0.97439308751554,0.9729432180790911,0.9727686805631698,0.9740239572259111,0.9722193826277317,0.9703670353061299,0.9719443796869307,0.976251287476518,0.9775884720790265,0.9757610736688538,0.9775975717589389,0.9799884940475072,0.9806946326708363,0.981593445375591,0.9809021733002147,0.9824965059057224,0.980419890067774,0.9803294143840275,0.9832077477004292,0.9887407228916583,0.994679253303774,1.0021540407670961,1.0072765240985404,1.0073720083696058,1.0014533724110348,0.9958724646195961,0.9944515318838576,0.9926057853216725,0.9931018476464442,0.9942071378761602,0.9973146135066304,1.0060491382591872,1.0124872436709698,1.0156955643422516,1.0103343690136124,1.0015691509344111,0.9901303723359004,0.9813194446385436,0.9781249907823225,0.973384540387316,0.9729879994580983,0.9692332104150719,0.9734550828927461
395209,6,"Washington, DC",msa,VA,0.984885797802415,0.9917268017823901,0.9923642105056635,0.9970761488553224,0.997550404346486,0.996255758043531,0.9943743579966267,0.9926809121992821,0.9911545760466733,0.99212427404346,0.9902324403102877,0.9894307587115947,0.9872522340667722,0.9894689901333416,0.993341495087765,0.9956726085837382,0.9976961761882692,0.9958901211354679,0.9949523824871679,0.9922374714416591,0.9921972696389019,0.9932624112489865,0.992211973267136,0.9906481602166075,0.9893518009295126,0.9925567900932735,0.9988034429803022,0.9993909569311408,0.9965578087588359,0.9979170879155573,1.0007557622623775,1.002176471597911,1.0029612346422865,1.006158512421938,1.0060129628650014,1.0048038984204801,1.005736222490065,1.0092171700110713,1.0194893060631294,1.0266383131950034,1.0326309837607632,1.0302737489731393,1.0226099192853266,1.0150264931319004,1.0085158918430919,1.0067945008097454,1.0061659078583332,1.0049742515384337,1.0046479145439438,1.0166080103494985,1.0302908175589103,1.0380449876751245,1.035969013395865,1.0231981381099788,1.010112939330525,1.0015653642275038,0.9968943665129344,0.9968378415155345,0.993509341508953,0.9910473080896574,0.9896519440361913,0.9970288826821636
394974,7,"Philadelphia, PA",msa,PA,0.9745893820122138,0.9731796975615188,0.9744603358280225,0.9776638508435879,0.9812009756416382,0.9846941075789762,0.9822425665548372,0.9804944934735891,0.9801295595998543,0.979182639345515,0.9765488000249555,0.9739039352143923,0.9721674222500215,0.9706482925704556,0.9734604174562338,0.9767975886819651,0.9810740269647673,0.9840043129249115,0.9833095160301241,0.9799939561108304,0.9791099106218408,0.9783569291088805,0.978914091752068,0.9774836731768141,0.9724998390038727,0.9750838378867261,0.9810277170091986,0.9821525545406848,0.981641046926199,0.9811275027335978,0.9862561451746831,0.9897894020829936,0.9928451557053002,0.9938934662035103,0.9942645748325217,0.9942746738311594,0.9912161079385944,0.9911065902068573,0.994383937410316,1.0027901418543268,1.0097470078614663,1.0140614435007238,1.0187669485076827,1.0154609738743163,1.0089556105872948,1.0034064912800154,0.999275365682127,1.0009827993720635,0.997003654735384,0.998816840176458,1.0038044417298224,1.0190525750632504,1.026983031876827,1.030754124545831,1.0220109412002825,1.0110244784592215,1.0036730105559866,0.9983680594627931,0.9942909024118514,0.9884580206042201,0.9823175917084764,0.9842855548787327
394856,8,"Miami, FL",msa,FL,0.9576901835399843,0.9583546967676156,0.9572272493542165,0.960652455582063,0.9593325907474642,0.9602618357108952,0.9605860292668242,0.961582309177035,0.9613029177911997,0.958600835674193,0.9601164727402197,0.9604232759436557,0.9571691700626799,0.9576533542177624,0.9582055905865499,0.9582019924801211,0.9600025845791442,0.9620624432696036,0.9619445174878168,0.9627888125037696,0.9611646986439148,0.960897556741823,0.9616006003755548,0.9606040786939343,0.9583658213778178,0.9596257248119826,0.961572318990237,0.9624141017976878,0.9574261010385289,0.9590671055211725,0.963602361491425,0.963181484151363,0.964839347628407,0.9650552604417887,0.9671616904920566,0.9661594408870106,0.9651569664476007,0.9653147157046675,0.9689745275654061,0.9723335905431957,0.9759215466621862,0.9806720043249693,0.984271290252019,0.9830615964184279,0.98239840555445,0.9821711398194861,0.9803749588632067,0.9817736810148358,0.9816289828220234,0.9835467597507713,0.9930011598758597,0.997322101271588,0.9988644538196773,0.9969272118242104,0.9900164647384512,0.9825483459590068,0.9762404993171808,0.9718742891028361,0.9659116697222235,0.9656631170523983,0.9610898752152799,0.9616269913003026
394347,9,"Atlanta, GA",msa,GA,0.9776266622341925,0.9787283041683605,0.981993299379135,0.9869664070528924,0.988262477045853,0.9862762933647669,0.9867174688625175,0.9823455187518004,0.9830354047269649,0.9802504570990201,0.9790506822822983,0.9778274235811479,0.9772049230649494,0.9793258770883622,0.9812832495639785,0.9839880096980148,0.9849288339882835,0.9850934383040725,0.9849758727375507,0.9836998205471309,0.9821351903541635,0.9807723897914429,0.9815653437816884,0.9809469934573006,0.9771675780834279,0.9828177892903904,0.9850425283275765,0.9860866177528618,0.9858317898751435,0.9855276398146857,0.989297005719872,0.9887640254763768,0.9918169162801237,0.9923325541280034,0.9922135074774795,0.9924299698126277,0.9915875527104642,0.9968069222627122,1.002034743856876,1.0103631551681067,1.0152369182036043,1.0191193131295744,1.0188454787742556,1.014218484306649,1.0096849438830517,1.0077215182350565,1.0096898779943928,1.0084301692161093,1.0060327061923109,1.0115080300531032,1.0221542338111236,1.0301134452962626,1.032260325783908,1.025824986818138,1.011986156810816,0.9988523288236327,0.9911638760636559,0.9866272375289173,0.9821889150453242,0.9807836533775098,0.9779719319674887,0.9827454542588477
